Name,Funding,Department
Disaster Legal Services ,100000,Department of Homeland Security
Disaster Unemployment Assistance ,17000000,Department of Homeland Security
Drivers License Security Grant Program,0,Department of Homeland Security
Earthquake State Assistance ,3000000,Department of Homeland Security
Emergency Food and Shelter National Board Program ,130000000,Department of Homeland Security
Emergency Management Baseline Assessments Grant (EMBAG) ,2000000,Department of Homeland Security
Emergency Management Performance Grants ,710000000,Department of Homeland Security
Emergency Operations Center,0,Department of Homeland Security
Federal Disaster Assistance to Individuals and Households in Presidential Declared Disaster Areas ,1600000000,Department of Homeland Security
Financial Assistance for Targeted Violence and Terrorism Prevention ,20000000,Department of Homeland Security
Fire Management Assistance Grant ,101000000,Department of Homeland Security
Fire Prevention & Safety ,32000000,Department of Homeland Security
Flood Insurance ,3600000000,Department of Homeland Security
Flood Mitigation Assistance ,650000000,Department of Homeland Security
Flood Mitigation Assistance (FMA) Swift Current ,90000000,Department of Homeland Security
FY 2022 Operation Allies Welcome Airport Assistance Grant,0,Department of Homeland Security
Hazard Mitigation Grant ,2300000000,Department of Homeland Security
Homeland Security Biowatch Program ,34000000,Department of Homeland Security
Homeland Security Grant Program ,120000000,Department of Homeland Security
Homeland Security Preparedness Technical Assistance Program ,525000,Department of Homeland Security
"Homeland Security Research, Development, Testing, Evaluation and Demonstration of Technologies Related to Countering Weapons of Mass Destruction ",6000000,Department of Homeland Security
Intercity Bus Security Grants,0,Department of Homeland Security
National Coast Guard Museum Construction,0,Department of Homeland Security
National Computer Forensics Institute Facility Expansion Grant Program ,22000000,Department of Homeland Security
National Cybersecurity Preparedness Consortium ,8000000,Department of Homeland Security
National Dam Safety Program ,217000000,Department of Homeland Security
National Domestic Preparedness Consortium ,70000000,Department of Homeland Security
National Earthquake Hazards Reduction Program (NEHRP) Multi-State and National Assistance (MSNEA) Grant Program ,1000000,Department of Homeland Security
National Fire Academy Training Assistance ,2000000,Department of Homeland Security
National Incident Management System (NIMS) ,2000000,Department of Homeland Security
National Nonproft Organization Recreational Boating Safety Grant Program ,6000000,Department of Homeland Security
National Nuclear Forensics Expertise Development Program ,2000000,Department of Homeland Security
National Urban Search and Rescue (US&R) Response System,37000000,Department of Homeland Security
Next Generation Warning System Grant Program,0,Department of Homeland Security
Non-Proft Security Program ,360000000,Department of Homeland Security
Port Security Grant Program ,100000000,Department of Homeland Security
Pre-Disaster Mitigation (PDM) Congressionally Directed Spending (CDS) ,191000000,Department of Homeland Security
Preparing for Emerging Threats and Hazards,0,Department of Homeland Security
Presidential Declared Disaster Assistance to Individuals and Households  Other Needs,0,Department of Homeland Security
Presidential Residence Protection Security Grant,0,Department of Homeland Security
"Public Safety and Violence Prevention Research, Evaluation and Implementation ",1000000,Department of Homeland Security
Rail and Transit Security Grant Program ,100000000,Department of Homeland Security
Regional Catastrophic Preparedness Grant Program (RCPGP) ,12000000,Department of Homeland Security
Rehabilitation of High Hazard Potential Dams Grant Program ,185000000,Department of Homeland Security
Rural Emergency Medical Communications Demonstration Project ,1000000,Department of Homeland Security
Safeguarding Tomorrow Revolving Loan Fund Program,0,Department of Homeland Security
Scientifc Leadership Awards,0,Department of Homeland Security
Securing the Cities Program ,28000000,Department of Homeland Security
Shelter and Services Program ,8000000000,Department of Homeland Security
Shelter and Services Program (SSP-C) ,341000000,Department of Homeland Security
Staffng for Adequate Fire and Emergency Response (SAFER) ,370000000,Department of Homeland Security
State and Local Cybersecurity Grant Program Tribal Cybersecurity Grant Program ,300000000,Department of Homeland Security
State and Local Homeland Security National Training Program ,91000000,Department of Homeland Security
State Fire Training Systems Grants ,1000000,Department of Homeland Security
"State, Local, Tribal and Territorial Security Operations Center/Information Sharing and Analysis Center ",27000000,Department of Homeland Security
Tribal Cybersecurity Grant Program ,12000000,Department of Homeland Security
Tribal Homeland Security Grant Program ,14000000,Department of Homeland Security
Adjustable Rate Mortgages,0,Department of Housing and Urban Development
Affordable Housing Development in Main Street Rejuvenation Projects ,2000000,Department of Housing and Urban Development
Choice Neighborhoods Implementation Grants ,328000000,Department of Housing and Urban Development
Choice Neighborhoods Planning Grants ,7000000,Department of Housing and Urban Development
Community Compass Technical Assistance and Capacity Building ,69000000,Department of Housing and Urban Development
Community Development Block Grant- PRICE Competition,0,Department of Housing and Urban Development
Community Development Block Grant- PRO Housing Competition ,85000000,Department of Housing and Urban Development
Community Development Block Grants Section 108 Loan Guarantees ,400000000,Department of Housing and Urban Development
Community Development Block Grants/Entitlement Grants ,2500000000,Department of Housing and Urban Development
Community Development Block Grants/Special Purpose Grants/Insular Areas ,7000000,Department of Housing and Urban Development
Community Development Block Grants/States program and Non-Entitlement Grants in Hawaii ,4900000000,Department of Housing and Urban Development
Continuum of Care Program ,3200000000,Department of Housing and Urban Development
Demolition and Revitalization of Severely Distressed Public Housing,0,Department of Housing and Urban Development
Dollar Home Sales,0,Department of Housing and Urban Development
"Economic Development Initiative, Community Project Funding, and Miscellaneous grants",0,Department of Housing and Urban Development
Education and Outreach Initiatives ,10000000,Department of Housing and Urban Development
Emergency Solutions Grant Program ,290000000,Department of Housing and Urban Development
Eviction Protection Grant Program ,30000000,Department of Housing and Urban Development
Fair Housing Assistance Program ,25000000,Department of Housing and Urban Development
Fair Housing Initiatives Program ,39000000,Department of Housing and Urban Development
Fair Housing Organization Initiatives ,4000000,Department of Housing and Urban Development
Family Self-Suffciency Program ,133000000,Department of Housing and Urban Development
Family Unifcation Program (FUP),0,Department of Housing and Urban Development
General Research and Technology Activity ,20000000,Department of Housing and Urban Development
Good Neighbor Next Door Sales Program,0,Department of Housing and Urban Development
Green and Resilient Retroft Program ,87000000,Department of Housing and Urban Development
Healthy Homes Production Program ,45000000,Department of Housing and Urban Development
Healthy Homes Technical Studies Grants ,5000000,Department of Housing and Urban Development
Healthy Homes Weatherization Cooperation Demonstration Grants ,7000000,Department of Housing and Urban Development
Home Equity Conversion Mortgages ,26000000,Department of Housing and Urban Development
Home Investment Partnerships Program ,1200000000,Department of Housing and Urban Development
Housing Counseling Assistance Program ,61000000,Department of Housing and Urban Development
Housing Counseling Program Homeownership Initiative ,61000000,Department of Housing and Urban Development
Housing Counseling Training Program ,5000000,Department of Housing and Urban Development
Housing Finance Agencies (HFA) Risk Sharing,0,Department of Housing and Urban Development
Housing Opportunities for Persons with AIDS ,453000000,Department of Housing and Urban Development
Housing Trust Fund ,217000000,Department of Housing and Urban Development
Hurricane Sandy Community Development Block Grant Disaster Recovery Grants (CDBG-DR),0,Department of Housing and Urban Development
Indian Community Development Block Grant Program ,72000000,Department of Housing and Urban Development
Indian Housing Block Grants ,1300000000,Department of Housing and Urban Development
Jobs-Plus Pilot Initiative ,31000000,Department of Housing and Urban Development
Lead Hazard Control Capacity Building ,10000000,Department of Housing and Urban Development
Lead Hazard Control for High Risk Areas,0,Department of Housing and Urban Development
Lead Hazard Reduction Demonstration Grant Program ,129000000,Department of Housing and Urban Development
Lead Hazard Reduction Grant Program ,205000000,Department of Housing and Urban Development
Lead Technical Studies Grants ,2000000,Department of Housing and Urban Development
Lead-Based Paint Capital Fund Program ,88000000,Department of Housing and Urban Development
Loan Guarantees for Native Hawaiian Housing ,3000000,Department of Housing and Urban Development
Lower Income Housing Assistance Program Section 8 Moderate Rehabilitation ,93000000,Department of Housing and Urban Development
Mainstream Vouchers ,626000000,Department of Housing and Urban Development
Manufactured Home Loan Insurance (Title I) ,4000000,Department of Housing and Urban Development
Manufactured Housing ,14000000,Department of Housing and Urban Development
Mortgage Insurance Combination and Manufactured Home Lot Loans,0,Department of Housing and Urban Development
Mortgage Insurance Cooperative Projects,0,Department of Housing and Urban Development
Mortgage Insurance for the Purchase or Refnancing of Existing Multifamily Housing Projects,0,Department of Housing and Urban Development
Mortgage Insurance Homes ,225000000,Department of Housing and Urban Development
Mortgage Insurance Homes for Disaster Victims,0,Department of Housing and Urban Development
Mortgage Insurance Homes in Urban Renewal Areas,0,Department of Housing and Urban Development
Mortgage Insurance Hospitals ,960000000,Department of Housing and Urban Development
"Mortgage Insurance Nursing Homes, Intermediate Care Facilities, Board and Care Homes and Assisted Living Facilities ",3100000000,Department of Housing and Urban Development
Mortgage Insurance Purchase of Units in Condominiums,0,Department of Housing and Urban Development
"Mortgage Insurance Rental and Cooperative Housing for Moderate Income Families and Elderly, Market Interest Rate",0,Department of Housing and Urban Development
Mortgage Insurance Rental Housing ,17500000000,Department of Housing and Urban Development
Mortgage Insurance Rental Housing for the Elderly,0,Department of Housing and Urban Development
Mortgage Insurance Rental Housing in Urban Renewal Areas,0,Department of Housing and Urban Development
Moving to Work Demonstration Program,0,Department of Housing and Urban Development
Multifamily Housing Service Coordinators ,112000000,Department of Housing and Urban Development
National Disaster Resilience Competition,0,Department of Housing and Urban Development
National Homeless Data Analysis Project (NHDAP) ,9000000,Department of Housing and Urban Development
Native Hawaiian Housing Block Grants ,22000000,Department of Housing and Urban Development
Neighborhood Stabilization Program (Recovery Act Funded),0,Department of Housing and Urban Development
Offce of Native American Programs Training and Technical Assistance for Indian Housing Block Grant Program,0,Department of Housing and Urban Development
Older Adults Home Modifcation Grant Program ,30000000,Department of Housing and Urban Development
Performance Based Contract Administrator Program ,448000000,Department of Housing and Urban Development
Private Enforcement Initiatives ,25000000,Department of Housing and Urban Development
Project Rental Assistance Demonstration (PRA Demo) Program of Section 811 Supportive Housing for Persons with Disabilities ,148000000,Department of Housing and Urban Development
Project-Based Rental Assistance (PBRA) ,14700000000,Department of Housing and Urban Development
"The White House budget offce said that rental assistance would not be affected, but it did not specify individual programs. Property Improvement Loan Insurance for Improving All Existing Structures and Building of New Nonresidential Structures",16000000,Department of Housing and Urban Development
Public and Indian Housing Indian Loan Guarantee Program ,342000000,Department of Housing and Urban Development
Public Housing Capital Fund ,3200000000,Department of Housing and Urban Development
Public Housing Operating Fund ,5500000000,Department of Housing and Urban Development
Radon Interventions in Public and Assisted Multifamily Housing,0,Department of Housing and Urban Development
Rehabilitation Mortgage Insurance,0,Department of Housing and Urban Development
"Research, Evaluation, and Demonstrations ",16000000,Department of Housing and Urban Development
Resident Opportunity and Supportive Services - Service Coordinators ,40000000,Department of Housing and Urban Development
Rural Capacity Building for Community Development and Affordable Housing Grants ,6000000,Department of Housing and Urban Development
Section 4 Capacity Building for Community Development and Affordable Housing ,83000000,Department of Housing and Urban Development
Section 8 Housing Choice Vouchers ,31700000000,Department of Housing and Urban Development
Section 8 Moderate Rehabilitation Single Room Occupancy,0,Department of Housing and Urban Development
Self-Help Homeownership Opportunity Program ,12000000,Department of Housing and Urban Development
Single Family Property Disposition,0,Department of Housing and Urban Development
Supplemental Loan Insurance Multifamily Rental Housing,0,Department of Housing and Urban Development
Supportive Housing for Persons with Disabilities ,148000000,Department of Housing and Urban Development
Supportive Housing for the Elderly ,110000000,Department of Housing and Urban Development
Tenant Education and Outreach Program,0,Department of Housing and Urban Development
Title VI Federal Guarantees for Financing Tribal Housing Activities ,10000000,Department of Housing and Urban Development
Tribal HUD-VA Supportive Housing Program ,10000000,Department of Housing and Urban Development
Veterans Housing Rehabilitation and Modifcation Program ,9000000,Department of Housing and Urban Development
Youth Homeless System Improvement Grants,0,Department of Housing and Urban Development
Youth Homelessness Demonstration Program ,124000000,Department of Housing and Urban Development
Academic-based Drug Field Testing and Training Initiative,0,Department of Justice
Antiterrorism Emergency Reserve ,50000000,Department of Justice
Body Worn Camera Policy and Implementation ,9000000,Department of Justice
Bulletproof Vest Partnership Program ,24000000,Department of Justice
Byrne Criminal Justice Innovation Program,0,Department of Justice
Capital Case Litigation Initiative ,8000000,Department of Justice
Children Exposed to Violence ,9000000,Department of Justice
Children of Incarcerated Parents ,5000000,Department of Justice
Childrens Justice Act Partnerships for Indian Communities ,4000000,Department of Justice
Combatting Contraband Cell Phone Use in Prisons,0,Department of Justice
Combined DNA Index System,0,Department of Justice
Community-Based Approaches to Advancing Justice ,8000000,Department of Justice
Community-Based Violence Intervention and Prevention Initiative ,87000000,Department of Justice
Community-Based Violence Prevention Program ,50000000,Department of Justice
Comprehensive Forensic DNA Analysis Grant Program ,105000000,Department of Justice
"Comprehensive Opioid, Stimulant, and other Substances Use Program ",26000000,Department of Justice
Congressionally Recommended Awards ,348000000,Department of Justice
Consolidated and Technical Assistance Grant Program to Address Children and Youth Experiencing Domestic and Sexual Violence and Engage Men and Boys as Allies ,12000000,Department of Justice
Coronavirus Emergency Supplemental Funding Program,0,Department of Justice
Corrections Research and Evaluation and Policy Formulation,0,Department of Justice
Corrections Technical Assistance/Clearinghouse,0,Department of Justice
Corrections Training and Staff Development,0,Department of Justice
Court Appointed Special Advocates ,15000000,Department of Justice
Crime Gun Intelligence Training and Education,0,Department of Justice
Crime Victim Assistance,0,Department of Justice
Crime Victim Assistance/Discretionary Grants,0,Department of Justice
Crime Victim Compensation,0,Department of Justice
Criminal and Juvenile Justice and Mental Health Collaboration Program ,35000000,Department of Justice
Culturally and Linguistically Specifc Services Program ,23000000,Department of Justice
Delinquency Prevention Program ,4000000,Department of Justice
"Demonstration Program on Trauma-Informed, Victim Centered Training for Law Enforcement ",3000000,Department of Justice
DNA Backlog Reduction Program ,2000000,Department of Justice
Domestic Traffcking Victim Program,0,Department of Justice
Drug Data Research Center to Combat the Opioid Crisis ,3000000,Department of Justice
"Economic, High-Tech and Cyber Crime Prevention ",10000000,Department of Justice
"Education, Training, and Enhanced Services to End Violence Against and Abuse of Women with Disabilities ",1000000,Department of Justice
Edward Byrne Memorial Competitive Grant Program,0,Department of Justice
Edward Byrne Memorial Justice Assistance Grant Program ,352000000,Department of Justice
Emergency Law Enforcement Assistance Grant ,245000,Department of Justice
Emergency Planning for Juvenile Justice Facilities ,872000,Department of Justice
Emmett Till Cold Case Investigations Program ,1000000,Department of Justice
Enhanced Training and Services to End Violence and Abuse of Women Later in Life ,1000000,Department of Justice
Equitable Sharing Program,0,Department of Justice
Family-Based Alternative Justice Program,0,Department of Justice
"Financial Assistance to Victims of Domestic Violence, Dating Violence, Sexual Assault, and Stalking",0,Department of Justice
Forensics Training and Technical Assistance Program ,6000000,Department of Justice
Girls in the Juvenile Justice System ,5000000,Department of Justice
Grants for Outreach and Services to Underserved Populations ,11000000,Department of Justice
Grants to Encourage Arrest Policies and Enforcement of Protection Orders Program ,39000000,Department of Justice
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus ",22000000,Department of Justice
Grants to State and Tribal Courts to Implement Protection Order Pilot Programs ,2000000,Department of Justice
Harold Rogers Prescription Drug Monitoring Program ,35000000,Department of Justice
Improving the Investigation and Prosecution of Child Abuse and the Regional and Local Childrens Advocacy Centers ,38000000,Department of Justice
Indian Country Investigations,0,Department of Justice
Indigent Defense ,2000000,Department of Justice
John R. Justice Prosecutors and Defenders Incentive Act ,3000000,Department of Justice
Judicial Training on Child Maltreatment for Court Personnel Juvenile Justice Programs ,1000000,Department of Justice
Justice Reinvestment Initiative ,31000000,Department of Justice
Justice Systems Response to Families ,15000000,Department of Justice
Juvenile Justice and Delinquency Prevention ,67000000,Department of Justice
Juvenile Mentoring Program ,102000000,Department of Justice
Keep Young Athletes Safe ,2000000,Department of Justice
Khalid Jabara and Heather Heyer NO HATE Act ,6000000,Department of Justice
Law Enforcement Assistance FBI Advanced Police Training,0,Department of Justice
Law Enforcement Assistance FBI Crime Laboratory Support,0,Department of Justice
Law Enforcement Assistance FBI Field Police Training,0,Department of Justice
Law Enforcement Assistance FBI Fingerprint Identifcation,0,Department of Justice
Law Enforcement Assistance Narcotics and Dangerous Drugs Laboratory Analysis,0,Department of Justice
Law Enforcement Assistance Narcotics and Dangerous Drugs Technical Laboratory Publications,0,Department of Justice
Law Enforcement Assistance Narcotics and Dangerous Drugs Training,0,Department of Justice
Law Enforcement Assistance National Crime Information Center,0,Department of Justice
Law Enforcement Assistance National Instant Criminal Background Check System,0,Department of Justice
Law Enforcement Assistance Uniform Crime Reports,0,Department of Justice
Legal Assistance for Victims ,42000000,Department of Justice
Local Law Enforcement Grants for Enforcement of Cybercrimes ,5000000,Department of Justice
"Matthew Shepard and James Byrd Jr. Hate Crimes Education, Investigation and Prosecution Program ",11000000,Department of Justice
Missing Alzheimers Disease Patient Assistance Program ,3000000,Department of Justice
Missing and Unidentifed Human Remains (MUHR) Program ,764000,Department of Justice
Missing Childrens Assistance ,129000000,Department of Justice
National Ashanti Alert Network Training and Technical Assistance Program ,875000,Department of Justice
National Center on Restorative Justice,0,Department of Justice
National Clearinghouse on Sexual Assault of American Indian and Alaska Native Women,0,Department of Justice
National Criminal History Improvement Program (NCHIP) ,85000000,Department of Justice
National Deaf Services Line ,3000000,Department of Justice
National Decertifcation Index,0,Department of Justice
"National Institute of Justice Research, Evaluation, and Development Project Grants ",46000000,Department of Justice
National Prison Rape Statistics Program ,1000000,Department of Justice
National Resource Center on Cybercrimes Against Individuals ,3000000,Department of Justice
National Sexual Assault Kit Initiative ,45000000,Department of Justice
NICS Act Record Improvement Program ,20000000,Department of Justice
Offce on Violence Against Women Special Projects ,3000000,Department of Justice
Offcer Robert Wilson III Preventing Violence Against Law Enforcement Offcers and Ensuring Offcer Resilience and Survivability (VALOR) ,19000000,Department of Justice
Opioid Affected Youth Initiative ,11000000,Department of Justice
OVW LGBT Specifc Services Program ,1000000,Department of Justice
OVW Research and Evaluation Program ,8000000,Department of Justice
OVW Technical Assistance Initiative ,43000000,Department of Justice
Paul Coverdell Forensic Sciences Improvement Grant Program ,34000000,Department of Justice
Postconviction Testing of DNA Evidence ,18000000,Department of Justice
PREA Program: Strategic Support for PREA Implementation ,8000000,Department of Justice
Preventing Traffcking of Girls ,5000000,Department of Justice
Project Safe Neighborhoods ,17000000,Department of Justice
Public Beneft Conveyance Program,0,Department of Justice
Public Safety Offcers Benefts Program ,208000000,Department of Justice
Public Safety Offcers Educational Assistance ,7000000,Department of Justice
Public Safety Partnership and Community Policing Grants,0,Department of Justice
Regional Information Sharing Systems ,41000000,Department of Justice
Residential Substance Abuse Treatment for State Prisoners ,30000000,Department of Justice
"Resource Center on Workplace Response to Domestic Violence, Dating Violence, Sexual Assault, and Stalking",0,Department of Justice
"Restorative Practices to Address Domestic Violence, Dating Violence, Sexual Assault, and Stalking ",30000000,Department of Justice
"Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program ",36000000,Department of Justice
Rural Violent Crime Initiative ,8000000,Department of Justice
Second Chance Act Reentry Initiative ,117000000,Department of Justice
Security Assistance Reimbursement Grant Program ,16000000,Department of Justice
Services for Traffcking Victims ,92000000,Department of Justice
Sexual Assault Forensic Exam Training and Services,0,Department of Justice
Sexual Assault Forensic Examinations ,4000000,Department of Justice
Sexual Assault Services Culturally Specifc Program ,9000000,Department of Justice
Sexual Assault Services Formula Program ,52000000,Department of Justice
Smart Prosecution Initiative,0,Department of Justice
Special Data Collections and Statistical Studies ,65000000,Department of Justice
Special Domestic Violence Criminal Jurisdiction Implementation ,5000000,Department of Justice
State and Local Anti-Terrorism Training ,2000000,Department of Justice
State Criminal Alien Assistance Program ,211000000,Department of Justice
State Domestic Violence and Sexual Assault Coalitions ,20000000,Department of Justice
State Justice Statistics Program for Statistical Analysis Centers ,5000000,Department of Justice
STOP School Violence ,37000000,Department of Justice
"Strengthening the Medical Examiner, Coroner System ",4000000,Department of Justice
Support for Adam Walsh Act Implementation Grant Program ,18000000,Department of Justice
Supporting Vulnerable and At-Risk Youth Transitioning out of Foster Care,0,Department of Justice
"Swift, Certain and Fair Supervision Program: Applying the Principles Behind Project HOPE ",4000000,Department of Justice
Training to Improve Police-Based Responses to the People with Mental Illness ,2000000,Department of Justice
"Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking or Sexual Assault ",42000000,Department of Justice
Treatment Court Discretionary Grant Program ,72000000,Department of Justice
"Tribal Civil and Criminal Legal Assistance Grants, Training and Technical Assistance ",2000000,Department of Justice
Tribal Domestic Violence and Sexual Assault Coalitions Grant Program ,8000000,Department of Justice
Tribal Justice Systems,0,Department of Justice
Tribal Registry,0,Department of Justice
Tribal Sexual Assault Services Program ,11000000,Department of Justice
Tribal Special Assistant United States Attorneys ,4000000,Department of Justice
Tribal Special Criminal Jurisdiction Reimbursement ,560000,Department of Justice
Tribal Youth Program ,15000000,Department of Justice
Trible Justice Assistance ,40000000,Department of Justice
Veterans Treatment Court Discretionary Grant Program ,24000000,Department of Justice
Violence Against Women Discretionary Grants for Indian Tribal Governments ,53000000,Department of Justice
Violence Against Women Formula Grants ,171000000,Department of Justice
Virtual Reality De-escalation Training ,4000000,Department of Justice
VOCA Tribal Victim Services Set-Aside Program ,95000000,Department of Justice
Brookwood-Sago Grant ,1000000,Department of Labor
Coal Mine Workers Compensation ,113000000,Department of Labor
Community Project Funding/Congressionally Directed Spending ,214000000,Department of Labor
Compensation and Working Conditions ,91000000,Department of Labor
Consultation Agreements ,61000000,Department of Labor
Disability Employment Policy Development ,17000000,Department of Labor
Employee Benefts Security Administration ,191000000,Department of Labor
Employment Service/Wagner-Peyser Funded Activities ,727000000,Department of Labor
Energy Employees Occupational Illness Compensation ,2700000000,Department of Labor
H-1B Job Training Grants ,38000000,Department of Labor
Homeless Veterans Reintegration Program ,66000000,Department of Labor
International Labor Programs ,61000000,Department of Labor
Job Corps Experimental Projects and Technical Assistance ,14000000,Department of Labor
Jobs for Veterans State Grants ,179000000,Department of Labor
Labor Force Statistics ,316000000,Department of Labor
Longshore and Harbor Workers Compensation ,95000000,Department of Labor
Mine Health and Safety Grants ,11000000,Department of Labor
National Farmworker Jobs Program ,98000000,Department of Labor
Native American Employment and Training ,57000000,Department of Labor
Occupational Safety and Health State Program ,116000000,Department of Labor
Occupational Safety and Health Susan Harwood Training Grants ,13000000,Department of Labor
Permanent Labor Certifcation for Foreign Workers ,14000000,Department of Labor
Prices and Cost of Living Data ,241000000,Department of Labor
Productivity and Technology Data ,12000000,Department of Labor
Reentry Employment Opportunities ,109000000,Department of Labor
Registered Apprenticeship ,171000000,Department of Labor
Safety and Health Grants ,65000,Department of Labor
Senior Community Service Employment Program ,423000000,Department of Labor
Temporary Labor Certifcation for Foreign Workers ,66000000,Department of Labor
Trade Adjustment Assistance ,14000000,Department of Labor
Transition Assistance Program ,34000000,Department of Labor
Unemployment Insurance ,48200000000,Department of Labor
WIOA Adult Program ,879000000,Department of Labor
"WIOA Adult, Dislocated Worker and Youth Outlying Areas Consolidated Grants ",8000000,Department of Labor
WIOA Dislocated Worker Formula Grants ,1100000000,Department of Labor
WIOA Dislocated Worker National Reserve Demonstration Grants ,33000000,Department of Labor
WIOA Dislocated Worker National Reserve Technical Assistance and Training ,15000000,Department of Labor
WIOA National Dislocated Worker Grants / WIA National Emergency Grants ,176000000,Department of Labor
WIOA Youth Activities ,926000000,Department of Labor
Women in Apprenticeship and Nontraditional Occupations (WANTO ) Technical Assistance Grant Program ,6000000,Department of Labor
Womens Bureau ,1000000,Department of Labor
Work Opportunity Tax Credit Program (WOTC) ,21000000,Department of Labor
Workforce Data Quality Initiative (WDQI) ,6000000,Department of Labor
YouthBuild ,98000000,Department of Labor
"100,000 Strong in the Americas Innovation Fund",0,Department of State
Academic Exchange Programs: Educational Advising and Student Services ,8000000,Department of State
Academic Exchange Programs: English Language Programs ,42000000,Department of State
Academic Exchange Programs: Graduate Students ,102000000,Department of State
Academic Exchange Programs: Hubert H. Humphrey Fellowship Program,12000000,Department of State
Academic Exchange Programs: Scholars ,37000000,Department of State
Academic Exchange Programs: Special Academic Exchange Programs ,25000000,Department of State
Academic Exchange Programs: Teachers ,11000000,Department of State
Academic Exchange Programs: Undergraduate Programs ,58000000,Department of State
AEECA/ESF PD Programs ,48000000,Department of State
Africa Regional Democracy Fund,0,Department of State
Ambassadors Special Self Help Fund,0,Department of State
Assessed Contributions for State Department,0,Department of State
Assessed Contributions to International Organizations,0,Department of State
Assessed Contributions to International Organizations/CIPA,0,Department of State
Bureau of International Organization Affairs Grants Program,0,Department of State
Bureau of Near Eastern Affairs,0,Department of State
Bureau of South and Central Asian Affairs,0,Department of State
Bureau of Western Hemisphere Affairs (WHA) Grant Programs (including Energy and Climate Partnership for the Americas) ,20000000,Department of State
Charles B. Rangel International Affairs Program ,6000000,Department of State
Confict and Stabilization Operations,0,Department of State
Contributions to International Organizations (CIO),0,Department of State
Contributions to International Organizations for Overseas Assistance,0,Department of State
Cooperation on Peaceful Uses of Nuclear Energy,0,Department of State
Counter Narcotics ,76000000,Department of State
Criminal Justice Systems ,180000000,Department of State
Cultural Antiquities Task Force ,500000,Department of State
"Cultural, Technical and Educational Centers ",23000000,Department of State
Cyber Capacity Building,0,Department of State
Cyberspace and Digital Policy,0,Department of State
Decrypting PRC Industrial and Technology Policy,0,Department of State
East Asia and Pacifc Grants Program,0,Department of State
ECA American Spaces ,9000000,Department of State
ECA Individual Grants ,120000,Department of State
ECA U.S. Speaker Program ,4000000,Department of State
Economic Statecraft,0,Department of State
Educational and Cultural Exchange Programs Appropriation Overseas Grants ,10000000,Department of State
Energy Governance and Reform Programs,0,Department of State
Environmental and Scientifc Partnerships and Programs ,1200000000,Department of State
EUR-Other,0,Department of State
EUR/ACE National Endowment for Democracy Small Grants,0,Department of State
Export Control and Related Border Security ,32000000,Department of State
Fiscal Transparency Innovation Fund,0,Department of State
Fishermens Guaranty Fund,0,Department of State
Foreign Affairs IT (FAIT) Fellowship,0,Department of State
Global Counterterrorism Programs,0,Department of State
Global Defense Reform Program ,1000000,Department of State
Global Peace Operations Initiative,0,Department of State
Global Telecommunications and Emerging Technology Training,0,Department of State
Global Threat Reduction ,77000000,Department of State
International Exchange Alumni Programs ,1000000,Department of State
International Fisheries Commissions ,54000000,Department of State
International Justice and Accountability Programming ,26000000,Department of State
International Programs to Combat Human Traffcking,0,Department of State
"International Programs to Support Democracy, Human Rights and Labor",0,Department of State
International Programs to Support the Freedom of Religion or Belief,0,Department of State
Investing in People in the Middle East and North Africa,0,Department of State
Middle East Partnership Initiative ,25000000,Department of State
Middle East Regional Cooperation Program ,9000000,Department of State
Multilateral and Nuclear Affairs ,33000000,Department of State
Nonproliferation and Disarmament Fund,0,Department of State
Offce of Global Womens Issues,0,Department of State
Offce of the Biological Policy Staff ,2000000,Department of State
Organization of American States Programs ,5000000,Department of State
Overseas Refugee Assistance Program for Middle East and North Africa Program ,140000000,Department of State
Overseas Refugee Assistance Program for South Asia,0,Department of State
Overseas Refugee Assistance Programs for Africa,0,Department of State
Overseas Refugee Assistance Programs for East Asia,0,Department of State
Overseas Refugee Assistance Programs for Europe,0,Department of State
Overseas Refugee Assistance Programs for Strategic Global Priorities,0,Department of State
Overseas Refugee Assistance Programs for Western Hemisphere,0,Department of State
Overseas Schools Program,0,Department of State
Partnership for Regional East Africa Counterterrorism,0,Department of State
Partnership for Regional East Africa Counterterrorism (PREACT),0,Department of State
Professional and Cultural Exchange Programs - Special Professional and Cultural Programs ,750000,Department of State
Professional and Cultural Exchange Programs: Citizen Exchanges,140000000,Department of State
Professional and Cultural Exchange Programs: International Visitor Leadership Program,67000000,Department of State
Program for Study of Eastern Europe and the Independent States of the Former Soviet Union ,2000000,Department of State
Public Diplomacy Programs,0,Department of State
Public Diplomacy Programs for Afghanistan and Pakistan,0,Department of State
Regional Democracy Program ,55000000,Department of State
Regional Peace and Security,0,Department of State
Resettlement Support Centers (RSCs) for U.S. Refugee Resettlement,0,Department of State
Soft Target Program for Overseas Schools,0,Department of State
South Sudan and Sudan Assistance Program,0,Department of State
Special International Exchange Grant Programs ,6000000,Department of State
State/African Regional: Other Economic Support Funds (ESF) Projects/Programs,0,Department of State
Student Programs and Fellowships ,2000000,Department of State
Syria Assistance Program,0,Department of State
The Secretarys Offce of the Global Partnership Initiative (S/GPI) Grant Programs,0,Department of State
